PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)
-0.10087333821830936,-0.2929594866228891,0.14623137962848068,-0.008168615316765595,0.5779421628373824,-0.10685147038841591,0.6583029573098367,-0.6094880938529759,-0.07045666794677335,-0.009906356559849805,0.20164793900327596,0.19340536486380866,2.6
-0.395382413867343,-0.2929594866228891,0.09558456589674842,-0.28100930462729373,-0.5422098362583534,0.16321929784686734,-0.0584557357348114,0.03486151808806018,-0.2113964865527617,0.29042059172037765,0.07106130769131969,0.20770782097669369,1.2
0.861594465706883,-0.2929594866228891,0.4525240150537187,1.2240151428598132,0.8346436626301552,-0.8542566196907114,0.39050300606238575,0.9884989437607935,0.8522587069893065,0.32738390843179027,0.23283280618225063,0.21681962193622673,3.7
1.5659873064344687,6.532237615569274,0.4645827802279407,1.2592203930934296,0.589610412827963,-0.30469400990961176,0.800079402087899,1.029307752517059,1.5657665386821225,0.19108167805845624,-0.2193477679128818,0.19323387872215456,4.7
0.24525073007024564,-0.2929594866228891,0.2933483147539887,0.6401947431523389,-1.4328862522060044,-0.37064152308334375,-2.0275730243190093,0.49449757460599925,0.330340941214006,0.6739150026012833,-0.42594751297358885,0.2092000063585498,-200.0
0.6976409596754622,-0.2929594866228891,0.29576006778883307,0.648996055710743,-1.4328862522060044,-0.6438526490888047,-2.0275730243190093,0.5911500163971546,0.640848979080324,0.3481757740819598,0.17046307182430143,0.21642545975988733,-200.0
-0.5411188636730504,-0.2929594866228891,0.020820221816572233,-0.7826841204563293,-1.4328862522060044,1.0236773268755606,-2.0275730243190093,-0.3538960811163649,-0.9249043182455776,0.15873877593597024,0.5661210741575423,0.21118105521885278,-200.0
0.0,0.0,5.355167497987686e-18,3.335311308548373e-16,0.0,0.0,0.0,-4.883604651248455e-16,0.0,0.0,0.0,0.0,
-0.3255503650021082,-0.2929594866228891,0.05458476430439373,-0.5362473688210136,-1.4328862522060044,0.5871675968208585,-2.0275730243190093,-0.1928086781311059,-0.5351176324133912,0.17491022699721323,0.5310380985811959,0.21177997696731643,-200.0
0.4061680600640475,-0.2929594866228891,0.1775841690814578,0.14438746902890606,0.8307542459666284,-0.19164113018321416,0.5401559199947848,-0.3581917451959718,0.2532644779138561,-0.06997174621589529,0.8545810955630577,0.19948416466124996,2.9
